Source,Show,time
CURRENT,Liberally Stephanie Miller,pm
Aljazam,Listening Post,pm
Bloomberg,Lunch Money,pm
CNBC,Mad Money,pm
Bloomberg,Market Makers,am
FBC,Markets Now,"both, starts am"
MSNBC,Martin Bashir,pm
KQED,McLaughlin Group,pm
KQEH,McLaughlin Group,pm
WUSA,McLaughlin Group,pm
Fox News,MediaBuzz,am
KNTV,Meet the Press,am
MSNBC,Meet the Press,am
WBAL,Meet the Press,am
WRC,Meet the Press,am
MSNBC,Melissa Harris-Perry,am
CSPAN,Misc,none
CSPAN2,Misc,none
CSPAN3,Misc,none
SFGTV,Misc,none
SFGTV2,Misc,none
FBC,MONEY With Melissa Francis,pm
KPIX,Mosaic,none
LINKTV,Mosaic World News,pm
KQEH,Moyers Company,am
MSNBC,MSNBC Live,none
MSNBC,MSNBC News Live,none
HLN,Nancy Grace,am
KNTV,NBC Bay Area News,none
KNTV,NBC Bay Area News at 11,none
KNTV,NBC Bay Area News at 5,none
KNTV,NBC Bay Area News at 6,none
KNTV,NBC Bay Area News Special,none
KNTV,NBC11 News The Bay Area at 5,none
KNTV,NBC11 News The Bay Area at 6,none
CNN,New Day,am
Aljazam,News,none
WMAR,News,none
WRC,News 4 at 11,none
WRC,News 4 at 4,none
WRC,News 4 at 5,none
WRC,News 4 at 6,none
WRC,News 4 Midday,pm
WRC,News 4 This Week,none
WRC,News 4 Today,none
WRC,News 4 Today at 430,none
WRC,News 4 Today at 5,none
WRC,News 4 Today at 6,none
MSNBC,News Nation,pm
KCSM,Newsline,pm
KCSMMHZ,Newsline,pm
KRCB,Newsline,pm
LINKTV,Newsline,pm
NHK,Newsline,pm
WHUT,Newsline,pm
KCSMMHZ,Newsline 30min,pm
CSPAN,Newsmakers,am
MSNBC,NewsNation,pm
KCSM,Newsweek South Asia,am
MSNBC,NOW With Alex Wagner,pm
Bloomberg,On the Move,
Fox News,On the Record With Greta Van Susteren,pm
CNN,Parker Spitzer,pm
KQED,PBS NewsHour,pm
KRCB,PBS NewsHour,pm
WETA,PBS NewsHour,pm
WMPT,PBS NewsHour,pm
CNN,Piers Morgan Live,pm
Bloomberg,Political Capital With Al Hunt,pm
CSPAN,Politics Public Policy Today,none
CSPAN3,Politics Public Policy Today,none
MSNBC,PoliticsNation,pm
CNBC,Power Lunch,pm
KNTV,Press Here,am
HLN,Prime News,pm
CSPAN,Public Affairs,
CSPAN,Q A,pm
Aljazam,Real Money With Ali Velshi,pm
Fox News,Red Eye,pm
CNN,Reliable Sources,pm
KRCB,Religion Ethics Newsweekly,am
WHUT,Religion Ethics Newsweekly,am
KICU,RightThisMinute,am
KTVU,RightThisMinute,am
WMAR,RightThisMinute,am
MSNBC,Ronan Farrow Daily,pm
KCSM,RT News,pm
KCSM,RTE News Six One,pm
CNN,Sanjay Gupta MD,pm
KCSM,Satellite News From Taiwan,pm
KTVU,Second Look,pm
Fox News,Shepard Smith Reporting,pm
KCSM,South Asia Newsline,pm
Fox News,Special Report With Bret Baier,pm
CNBC,Squawk Box,am
CNBC,Squawk on the Street,am
CNN,Starting Point,am
CNN,State of the Union,pm
FBC,Stossel,am
Fox News,Stossel,am
Fox News,Studio B With Shepard Smith,pm
KCSM,Taiwan Outlook,am
Bloomberg,Taking Stock With Pimm Fox,pm
Aljazam,Talk to Al Jazeera,am
KQED,Tavis Smiley,pm
KQEH,Tavis Smiley,pm
WETA,Tavis Smiley,pm
WHUT,Tavis Smiley,pm
WMPT,Tavis Smiley,pm
Aljazam,TechKnow,pm
KCSM,Teen Kids News,pm
KRON,Teen Kids News,pm
WBAL,Teen Kids News,pm
WTTG,Teen Kids News,pm
KICU,Ten OClock News,none
KTVU,Ten OClock News,none
CNBC,The Call,am
KNTV,The Chris Matthews Show,am
WBAL,The Chris Matthews Show,am
WRC,The Chris Matthews Show,am
COM,The Colbert Report,pm
CSPAN,The Communicators,am
CSPAN2,The Communicators,am
MSNBC,The Cycle,pm
MSNBC,The Daily Rundown,am
COM,The Daily Show With Jon Stewart,pm
KCSM,The Debate,
MSNBC,The Dylan Ratigan Show,pm
MSNBC,The Ed Show,pm
Fox News,The Five,pm
Fox News,The FOX Report With Shepard Smith,pm
Fox News,The Journal Editorial Report,pm
Fox News,The Kelly File,pm
CNBC,The Kudlow Report,pm
MSNBC,The Last Word,pm
MSNBC,The Last Word With Lawrence ODonnell,pm
CNN,The Lead With Jake Tapper,pm
Fox News,The Live Desk,pm
Fox News,The OReilly Factor,pm
Bloomberg,The Pulse,am
MSNBC,The Rachel Maddow Show,pm
Fox News,The Real Story With Gretchen Carlson,am
MSNBC,The Reid Report,am
CNN,The Situation Room,pm
CNN,The Situation Room With Wolf Blitzer,pm
Aljazam,The Stream,pm
CURRENT,The War Room,pm
CURRENT,The War Room With Jennifer Granholm,pm
FBC,The Willis Report,am
CURRENT,The Young Turks With Cenk Uygur,pm
WHUT,This Is America With Dennis Wholey,pm
KQED,This Week in Northern California,pm
KGO,This Week With George Stephanopoulos,am
WHUT,To the Contrary With Bonnie Erbe,pm
KNTV,Today,none
WBAL,Today,none
WRC,Today,none
KPIX,Up to the Minute,pm
WJZ,Up to the Minute,pm
WUSA,Up to the Minute,pm
MSNBC,Up W Chris Hayes,am
MSNBC,Up WSteve Kornacki,am
CSPAN2,US Senate,none
FBC,Varney Company,am
CURRENT,Viewpoint,pm
CURRENT,Viewpoint With Eliot Spitzer,pm
KNTV,Wall Street Journal Rpt,am
WBAL,Wall Street Journal Rpt,am
WJLA,Wall Street Journal Rpt,am
WJLA,Washington Business Report,
CSPAN,Washington Journal,am
